"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"shelf and coastal fishes","mesopelagic fishes",93034420603.4566,69214213098.7742,126849309155.555,27768648045.2355,159914936393.741,95684826287.4426,93034.4206034566,69214.2130987742,126849.309155555,"Unexploited"
"flying birds","mesopelagic fishes",2305284238.41668,1672755726.48303,3393880857.53766,350390675.376861,4799907399.19658,2557668500.99178,2305.28423841668,1672.75572648303,3393.88085753766,"Unexploited"
"small divers","mesopelagic fishes",540613783.263434,332915652.764155,980683600.62588,37236834.6901735,1800760688.61483,699020634.606582,540.613783263434,332.915652764155,980.68360062588,"Unexploited"
"squids","mesopelagic fishes",311089404315.333,216817672509.383,474327952928.735,84856449289.7414,682281418245.299,351756559646.344,311089.404315333,216817.672509383,474327.952928735,"Unexploited"
"toothfishes","mesopelagic fishes",430067986041.771,235493121768.018,748298623125.487,17511505496.5398,1242546032929.41,516263204303.476,430067.986041771,235493.121768018,748298.623125487,"Unexploited"
"leopard seals","mesopelagic fishes",27611208.8633016,18317510.3181166,44078018.7861717,3725643.73582018,73406249.1520384,32401232.2003959,27.6112088633016,18.3175103181166,44.0780187861717,"Unexploited"
"medium divers","mesopelagic fishes",96345568159.572,55298765745.0392,165543369637.833,10627437710.613,308163152222.371,120634123105.504,96345.568159572,55298.7657450392,165543.369637833,"Unexploited"
"large divers","mesopelagic fishes",3083885849.88945,1553593941.59901,6410733691.05795,370876225.191669,25381424248.1346,8458662977.31907,3083.88584988945,1553.59394159901,6410.73369105795,"Unexploited"
"minke whales","mesopelagic fishes",78711870.0243174,39639630.9280581,173589542.242766,14308875.5581143,38495101254.9146,9191473364.34082,78.7118700243174,39.6396309280581,173.589542242766,"Unexploited"
"orca","mesopelagic fishes",331886.565417014,180076.710596662,623501.957430344,59711.865923572,1342892.46854066,464427.658224805,0.331886565417014,0.180076710596662,0.623501957430344,"Unexploited"
"sperm whales","mesopelagic fishes",5420718379.66784,2964624496.36294,15508464020.6538,829090557.824021,295713308368.297,57201964357.2292,5420.71837966784,2964.62449636294,15508.4640206538,"Unexploited"
"baleen whales","mesopelagic fishes",310248254659.055,162829093752.801,829550017091.815,17330285989.2142,3561569399055.09,783964028919.391,310248.254659055,162829.093752801,829550.017091815,"Unexploited"
"mesozooplankton","bathypelagic fishes",2585.77244642741,1050.08430122471,12328.3479908407,309.871310073296,43841.0712620823,10689.8644151943,0.00258577244642741,0.00105008430122471,0.0123283479908407,"Unexploited"
